번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,공주시청,,충청남도 공주시 정안면 화봉리 111-2(공주영상대 유치원),차량방범,1,200,차량,30,2016-11,041-840-8500,36.53866416,127.1159995,2020-03-25
2,공주시청,,"충청남도 공주시 쌍신동 459제, (공주 IC 앞, 1차로)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.47586,127.12857,2020-03-25
3,공주시청,,"충청남도 공주시 석장리 44-2, (장암교차로, 공주 - 세종)",차량방범,1,500,차량,30,2016-11,041-840-8500,36.44231,127.19949,2020-03-25
4,공주시청,,"충청남도 공주시 옥룡동 산5-8, (자율방범대 앞, 공주 - 대전방향)",차량방범,1,500,차량,30,2016-11,041-840-8500,36.45827032,127.1393878,2020-03-25
5,공주시청,,"충청남도 공주시 쌍신동 459제, (공주 IC 앞, 1차로)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.47586,127.12857,2020-03-25
6,공주시청,,"충청남도 공주시 유구읍 신영리 514-3도, (유구 IC 앞, 39번 국도)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.5622,126.96441,2020-03-25
7,공주시청,,"충청남도 공주시 유구읍 신영리 514-3도, (유구 IC 앞, 39번 국도)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.5622,126.96441,2020-03-25
8,공주시청,,"충청남도 공주시 정안면 사현리 328-5도, (정안 IC 앞, 1차로 23번 국도, 천안-공주)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.61708,127.12354,2020-03-25
9,공주시청,,"충청남도 공주시 정안면 사현리 328-5도, (정안 IC 앞, 1차로 23번 국도, 천안-공주)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.61708,127.12354,2020-03-25
10,공주시청,,"충청남도 공주시 정안면 사현리 328-5도, (정안 IC 앞, 1차로 23번 국도, 천안-공주)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.61708,127.12354,2020-03-25
11,공주시청,,"충청남도 공주시 신관동 555도, (금강홍수통제소 앞, 32번 국도, 1차로)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.4606,127.14452,2020-03-25
