번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,예산-01호,방범용,가로변,예산 교육청사거리 예산역방향 스피드돔_비상벨,,충청남도 예산군 예산읍 산성리 836,36.69051,126.83006,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
2,예산-02호,방범용,가로변,예산 우송팰리스3동앞 스피드돔(경찰청)_비상벨,,충청남도 예산군 예산읍 산성리 852,36.690,126.8322,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
3,예산-03호,방범용,가로변,예산 광장식당앞 스피드돔_비상벨,,충청남도 예산군 예산읍 산성리 809,36.69143,126.831,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
4,예산-04호,방범용,가로변,예산 복길곱창사거리 스피드돔_비상벨,,충청남도 예산군 예산읍 산성리 883,36.69149,126.833,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
5,예산-05호,방범용,가로변,예산 그날그날회수산 스피드돔_비상벨,,충청남도 예산군 예산읍 산성리 732,36.6925,126.8331,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
6,예산-06호,방범용,가로변,예산 스튜디오아가페앞 스피드돔(한신아파트 방향)_비상벨,,충청남도 예산군 예산읍 산성리 679,36.69337,126.8332,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
7,예산-07호,방범용,가로변,예산 계룡아파트입구삼거리 터미널방향 스피드돔_비상벨,,충청남도 예산군 예산읍 산성리 657,36.69653,126.83325,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
8,예산-08호,방범용,가로변,예산 발연리 GM빌딩앞 스피드돔_비상벨,,충청남도 예산군 예산읍 발연리 85-18,36.69475,126.8337,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
9,예산-09호,방범용,가로변,예산 발연주공아파트앞사거리 터미널방향 스피드돔_비상벨,,충청남도 예산군 예산읍 발연리 105-6,36.69653,126.83325,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
10,예산-10호,방범용,가로변,예산 여중정문통학로 주공아파트방향 스피드돔_비상벨,,충청남도 예산군 예산읍 발연리 141,36.6983,126.833,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
